ID,Question,Expected PDF,Precision@5,Chunk Recall@5,Query Recall (Hit@5),Answer Accuracy,Response Time (s),Top Retrieved Sources,Answer Summary
1,What is Love2D and what language does it use?,Love2d.pdf,60.0% (3/5),60.0% (3/5),PASS,PASS,3.81,"Installation.pdf, Love2d.pdf, Love2d.pdf",LÖVE is a framework that acts as a tool to make game programming easier. It abstracts complex code written in C++ and Op...
2,How do you check for collisions between two entities in Lua?,Collisions.pdf,0.0% (0/5),0.0% (0/7),FAIL,PASS,3.93,"Resolving_Collision.pdf, Platformer.pdf, Shooting.pdf","To check for collisions between two entities, you define a method that compares the boundary coordinates of both objects..."
3,How can you play audio and sound effects in a game?,Audio.pdf,60.0% (3/5),100.0% (3/3),PASS,PASS,3.34,"Audio.pdf, Audio.pdf, Audio.pdf","To play audio in Love2D, you must first create a 'Source' object using `love.audio.newSource(path, type)`. The `type` ar..."
4,How do you animate sprites and handle animation frames?,Animation.pdf,100.0% (5/5),35.7% (5/14),PASS,PASS,6.9,"Animation.pdf, Animation.pdf, Animation.pdf","To animate sprites, you can load individual image files into a table and display them sequentially. Because animation fr..."
5,How does a camera follow the player in Love2D?,Camera.pdf,60.0% (3/5),15.0% (3/20),PASS,PASS,3.38,"Camera.pdf, Camera.pdf, Camera.pdf",A camera in Love2D is implemented by using `love.graphics.translate()` to move the canvas based on the player's position...
6,How do you implement jumping and gravity in a platformer?,Platformer.pdf,100.0% (5/5),20.0% (5/25),PASS,PASS,5.22,"Platformer.pdf, Platformer.pdf, Platformer.pdf","To implement jumping and gravity, you manage the player's vertical velocity (gravity). Gravity is simulated by continuou..."
7,How do tables work in Lua programming?,Tables.pdf,80.0% (4/5),44.4% (4/9),PASS,PASS,3.61,"Tables.pdf, Tables.pdf, Tables.pdf",Tables in Lua are lists used to store values. They can be created using curly brackets `{}`. You can initialize a table ...
8,How can you debug code and print errors in Love2D?,Debugging.pdf,60.0% (3/5),27.3% (3/11),PASS,PASS,4.18,"Installation.pdf, Installation.pdf, Debugging.pdf",You can debug your code by using the `print()` function to send information to your Output console. This helps you verif...
9,How do you write a Web API using C# and ASP.NET?,N/A (Out of scope),N/A,N/A,PASS,PASS,1.84,"Platformer.pdf, Love2d.pdf, Audio.pdf","The provided documentation does not contain information regarding writing a Web API using C# and ASP.NET, as LÖVE is a t..."
10,Explain quantum physics equations for black holes.,N/A (Out of scope),N/A,N/A,PASS,PASS,3.48,"Platformer.pdf, AnglesAndDistance.pdf, AnglesAndDistance.pdf",The provided documentation does not contain information regarding quantum physics equations for black holes....
